"","req_id","src_sys_cd","LT","SubCnt","DistrCnt","RespCnt","CompSubClass","CompDistrClass","WinLose","NTE","SubRt","Sub_NTE","SubTime","SubRank","Result"
"1","1002-1                   ","BL        ","Admin / Clerical",4,6,4,"Low","Medium","0",110,102.25,0.93,1,1,"Interview"
"2","1002-1                   ","BL        ","Admin / Clerical",4,6,4,"Low","Medium","0",110,79,0.718,2,2,"Shortlist"
"3","1002-1                   ","BL        ","Admin / Clerical",4,6,4,"Low","Medium","1",110,98,0.891,3,3,"Hire"
"4","1002-1                   ","BL        ","Admin / Clerical",4,6,4,"Low","Medium","0",110,79,0.718,8,4,"Interview"
"5","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1100,0.787,8,1,"Shortlist"
"6","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1500,1.073,8,2,"Shortlist"
"7","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1790,1.28,8,3,"Submit Only"
"8","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1500,1.073,10,4,"Shortlist"
"9","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1110,0.794,11,5,"Shortlist"
"10","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1790,1.28,11,6,"Shortlist"
"11","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1150,0.823,13,7,"Interview"
"12","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1120,0.801,15,8,"Shortlist"
"13","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1265,0.905,18,9,"Shortlist"
"14","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1050,0.751,19,10,"Shortlist"
"15","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1100,0.787,20,11,"Shortlist"
"16","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1150,0.823,21,12,"Submit Only"
"17","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1100,0.787,26,13,"Shortlist"
"18","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1100,0.787,28,14,"Submit Only"
"19","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1320,0.944,33,15,"Submit Only"
"20","10025-1                  ","BL        ","Engineering",16,7,4,"High","Medium","0",1398.13,1150,0.823,33,16,"Submit Only"
"21","10026-1                  ","BL        ","Information Technology",20,7,7,"High","Medium","0",44.66,35.2,0.788,0,1,"Shortlist"
"22","10026-1                  ","BL        ","Information Technology",20,7,7,"High","Medium","0",44.66,35,0.784,0,2,"Shortlist"
"23","10026-1                  ","BL        ","Information Technology",20,7,7,"High","Medium","0",44.66,35,0.784,0,3,"Shortlist"
